kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	org.mockito.internal.util.reflection.GenericTypeExtractor	findGenericInterface(java.lang.Class<?>,java.lang.Class<?>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/util/reflection/GenericTypeExtractor.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.reflection.GenericTypeExtractor	findGenericInterface(java.lang.Class<?>,java.lang.Class<?>)
METHOD	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)
METHOD	org.mockito.internal.util.Primitives	<T>defaultValue(java.lang.Class<T>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.Primitives	<T>defaultValue(java.lang.Class<T>)
METHOD	org.mockito.internal.exceptions.Reporter	exceptionCauseMessageIfAvailable(java.lang.Exception)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java	RETURN_NULLABLE	nullable	org.mockito.internal.exceptions.Reporter	exceptionCauseMessageIfAvailable(java.lang.Exception)
METHOD	org.mockito.internal.exceptions.Reporter	exceptionCauseMessageIfAvailable(java.lang.Exception)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java	RETURN_NULLABLE	nullable	org.mockito.internal.exceptions.Reporter	exceptionCauseMessageIfAvailable(java.lang.Exception)
PARAMETER	org.mockito.internal.exceptions.Reporter	formatUnncessaryStubbingException(java.lang.Class<?>,java.util.Collection<org.mockito.invocation.Invocation>)	testClass	0	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/exceptions/Reporter.java	PASS_NULLABLE	nullable	org.mockito.internal.exceptions.Reporter	unncessaryStubbingException(java.util.List<org.mockito.invocation.Invocation>)
METHOD	org.mockito.internal.invocation.InvocationsFinder	findFirstMatchingUnverifiedInvocation(java.util.List<org.mockito.invocation.Invocation>,org.mockito.invocation.MatchableInvocation,org.mockito.internal.verification.api.InOrderContext)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java	RETURN_NULLABLE	nullable	org.mockito.internal.invocation.InvocationsFinder	findFirstMatchingUnverifiedInvocation(java.util.List<org.mockito.invocation.Invocation>,org.mockito.invocation.MatchableInvocation,org.mockito.internal.verification.api.InOrderContext)
METHOD	org.mockito.internal.invocation.InvocationsFinder	findSimilarInvocation(java.util.List<org.mockito.invocation.Invocation>,org.mockito.invocation.MatchableInvocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java	RETURN_NULLABLE	nullable	org.mockito.internal.invocation.InvocationsFinder	findSimilarInvocation(java.util.List<org.mockito.invocation.Invocation>,org.mockito.invocation.MatchableInvocation)
PARAMETER	org.mockito.internal.invocation.InvocationsFinder	findFirstUnverified(java.util.List<org.mockito.invocation.Invocation>,java.lang.Object)	mock	1	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java	PASS_NULLABLE	nullable	org.mockito.internal.invocation.InvocationsFinder	findFirstUnverified(java.util.List<org.mockito.invocation.Invocation>)
METHOD	org.mockito.internal.invocation.InvocationsFinder	findFirstUnverified(java.util.List<org.mockito.invocation.Invocation>,java.lang.Object)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java	RETURN_NULLABLE	nullable	org.mockito.internal.invocation.InvocationsFinder	findFirstUnverified(java.util.List<org.mockito.invocation.Invocation>,java.lang.Object)
METHOD	org.mockito.internal.invocation.InvocationsFinder	getLastLocation(java.util.List<org.mockito.invocation.Invocation>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java	RETURN_NULLABLE	nullable	org.mockito.internal.invocation.InvocationsFinder	getLastLocation(java.util.List<org.mockito.invocation.Invocation>)
METHOD	org.mockito.internal.invocation.InvocationsFinder	findPreviousVerifiedInOrder(java.util.List<org.mockito.invocation.Invocation>,org.mockito.internal.verification.api.InOrderContext)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/InvocationsFinder.java	RETURN_NULLABLE	nullable	org.mockito.internal.invocation.InvocationsFinder	findPreviousVerifiedInOrder(java.util.List<org.mockito.invocation.Invocation>,org.mockito.internal.verification.api.InOrderContext)
