id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	org.mockito.junit.VerificationCollector	collectAndReport()	0	0	[]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/VerificationCollector.java
2	org.mockito.junit.VerificationCollector	assertLazily()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/VerificationCollector.java
3	org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.String)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/exceptions/base/MockitoAssertionError.java
4	org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(org.mockito.exceptions.base.MockitoAssertionError,java.lang.String)	0	2	[false, false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/exceptions/base/MockitoAssertionError.java
5	org.mockito.exceptions.base.MockitoAssertionError	MockitoAssertionError(java.lang.AssertionError,java.lang.String)	0	2	[false, false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/exceptions/base/MockitoAssertionError.java
6	org.mockito.exceptions.base.MockitoAssertionError	getUnfilteredStackTrace()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/exceptions/base/MockitoAssertionError.java
7	org.mockito.junit.MockitoRule	silent()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoRule.java
8	org.mockito.junit.MockitoRule	strictness(org.mockito.quality.Strictness)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoRule.java
9	org.mockito.junit.MockitoJUnit	rule()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnit.java
10	org.mockito.junit.MockitoJUnit	testRule(java.lang.Object)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnit.java
11	org.mockito.junit.MockitoJUnit	collector()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnit.java
12	org.mockito.junit.MockitoTestRule	silent()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoTestRule.java
13	org.mockito.junit.MockitoTestRule	strictness(org.mockito.quality.Strictness)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoTestRule.java
14	org.mockito.junit.MockitoJUnitRunner$Silent	Silent(java.lang.Class<?>)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
15	org.mockito.junit.MockitoJUnitRunner$Strict	Strict(java.lang.Class<?>)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
16	org.mockito.junit.MockitoJUnitRunner$StrictStubs	StrictStubs(java.lang.Class<?>)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
17	org.mockito.junit.MockitoJUnitRunner	MockitoJUnitRunner(java.lang.Class<?>)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
18	org.mockito.junit.MockitoJUnitRunner	MockitoJUnitRunner(org.mockito.internal.runners.InternalRunner)	0	1	[false]	false	package	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
19	org.mockito.junit.MockitoJUnitRunner	run(org.junit.runner.notification.RunNotifier)	20	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
21	org.mockito.junit.MockitoJUnitRunner	getDescription()	22	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
23	org.mockito.junit.MockitoJUnitRunner	filter(org.junit.runner.manipulation.Filter)	24	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/junit/MockitoJUnitRunner.java
25	org.mockito.internal.runners.InternalRunner	run(org.junit.runner.notification.RunNotifier)	0	1	[false]	false	public	false	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/runners/InternalRunner.java
26	org.mockito.internal.runners.InternalRunner	getDescription()	0	0	[]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/internal/runners/InternalRunner.java
27	org.mockito.MockSettings	extraInterfaces(java.lang.Class<?>...)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
28	org.mockito.MockSettings	name(java.lang.String)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
29	org.mockito.MockSettings	spiedInstance(java.lang.Object)	0	1	[false]	false	public	true	file:///tmp/projects/mockito/src/main/java/org/mockito/MockSettings.java
