kind	class	method	param	index	uri	field
METHOD	org.mockito.exceptions.base.MockitoException	filterStackTrace()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/exceptions/base/MockitoException.java	unfilteredStackTrace
METHOD	org.mockito.internal.invocation.SerializableMethod	getJavaMethod()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/invocation/SerializableMethod.java	method
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	setInvocationForPotentialStubbing(org.mockito.invocation.MatchableInvocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	invocationForStubbing
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	resetInvocationForPotentialStubbing(org.mockito.invocation.MatchableInvocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	invocationForStubbing
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	setMethodForStubbing(org.mockito.invocation.MatchableInvocation)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	invocationForStubbing
METHOD	org.mockito.internal.creation.settings.CreationSettings	setTypeToMock(java.lang.Class<T>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	typeToMock
METHOD	org.mockito.internal.creation.settings.CreationSettings	setExtraInterfaces(java.util.Set<java.lang.Class<?>>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	extraInterfaces
METHOD	org.mockito.internal.creation.settings.CreationSettings	setMockName(org.mockito.mock.MockName)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	mockName
METHOD	org.mockito.internal.creation.settings.CreationSettings	setSerializableMode(org.mockito.mock.SerializableMode)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	serializableMode
METHOD	org.mockito.internal.reporting.PrintSettings	setMatchersToBeDescribedWithExtraTypeInfo(java.lang.Integer[])	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/reporting/PrintSettings.java	withTypeInfo
METHOD	org.mockito.internal.progress.MockingProgressImpl	setVerificationStrategy(org.mockito.verification.VerificationStrategy)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/progress/MockingProgressImpl.java	verificationStrategy
METHOD	org.mockito.internal.junit.UniversalTestListener	testFinished(org.mockito.internal.junit.TestFinishedEvent)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/junit/UniversalTestListener.java	mocks
METHOD	org.mockito.internal.junit.UniversalTestListener	setStrictness(org.mockito.quality.Strictness)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/junit/UniversalTestListener.java	currentStrictness
METHOD	org.mockito.internal.junit.DefaultStubbingLookupListener	setCurrentStrictness(org.mockito.quality.Strictness)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/junit/DefaultStubbingLookupListener.java	currentStrictness
METHOD	org.mockito.internal.junit.JUnitSessionStore	setStrictness(org.mockito.quality.Strictness)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/junit/JUnitSessionStore.java	strictness
METHOD	org.mockito.internal.junit.VerificationCollectorImpl	resetBuilder()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/junit/VerificationCollectorImpl.java	builder
METHOD	org.mockito.internal.junit.MismatchReportingTestListener	testFinished(org.mockito.internal.junit.TestFinishedEvent)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/junit/MismatchReportingTestListener.java	mocks
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	stackTraceLine
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	sourceFile
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	stackTraceLine
METHOD	org.mockito.internal.debugging.LocationImpl	computeStackTraceInformation(org.mockito.internal.exceptions.stacktrace.StackTraceFilter,java.lang.Throwable,boolean)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/debugging/LocationImpl.java	sourceFile
METHOD	org.mockito.internal.listeners.VerificationStartedNotifier$Event	setMock(java.lang.Object)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/internal/listeners/VerificationStartedNotifier.java	mock
METHOD	org.mockito.exceptions.base.MockitoSerializationIssue	filterStackTrace()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/mockito/src/main/java/org/mockito/exceptions/base/MockitoSerializationIssue.java	unfilteredStackTrace
