kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/Primitives.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.Primitives	<T>primitiveTypeOf(java.lang.Class<T>)
FIELD	org.mockito.internal.stubbing.InvocationContainerImpl	null	invocationForStubbing	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	METHOD_NO_INIT	nullable	org.mockito.internal.stubbing.InvocationContainerImpl	null
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	RETURN_NULLABLE	nullable	org.mockito.internal.stubbing.InvocationContainerImpl	findAnswerFor(org.mockito.invocation.Invocation)
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	typeToMock	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	defaultAnswer	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
FIELD	org.mockito.internal.creation.settings.CreationSettings	null	mockName	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	METHOD_NO_INIT	nullable	org.mockito.internal.creation.settings.CreationSettings	null
METHOD	org.mockito.internal.util.MockUtil	<T>getMockHandler(T)	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/MockUtil.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.MockUtil	<T>getMockHandler(T)
METHOD	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()	null	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/FieldInitializationReport.java	RETURN_NULLABLE	nullable	org.mockito.internal.util.reflection.FieldInitializationReport	fieldClass()
FIELD	org.mockito.internal.util.concurrent.WeakConcurrentMap$SimpleEntry	null	entry	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/concurrent/WeakConcurrentMap.java	ASSIGN_FIELD_NULLABLE	nullable	org.mockito.internal.util.concurrent.WeakConcurrentMap$SimpleEntry	SimpleEntry(K,java.util.Map.Entry<org.mockito.internal.util.concurrent.WeakConcurrentMap.WeakKey<K>,V>)
FIELD	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null	DISPATCHER	null	/private/tmp/projects/mockito/src/main/java/org/mockito/internal/util/reflection/InstrumentationMemberAccessor.java	FIELD_NO_INIT	nullable	org.mockito.internal.util.reflection.InstrumentationMemberAccessor	null
