id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	org.mockito.invocation.DescribedInvocation	toString()	2	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/DescribedInvocation.java
3	org.mockito.invocation.DescribedInvocation	getLocation()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/DescribedInvocation.java
4	org.mockito.invocation.Location	toString()	2	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Location.java
5	org.mockito.invocation.Location	getSourceFile()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Location.java
6	org.mockito.invocation.Invocation	isVerified()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
7	org.mockito.invocation.Invocation	getSequenceNumber()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
8	org.mockito.invocation.Invocation	getLocation()	3	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
9	org.mockito.invocation.Invocation	getRawArguments()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
10	org.mockito.invocation.Invocation	getArgumentsAsMatchers()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
11	org.mockito.invocation.Invocation	getRawReturnType()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
12	org.mockito.invocation.Invocation	markVerified()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
13	org.mockito.invocation.Invocation	stubInfo()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
14	org.mockito.invocation.Invocation	markStubbed(org.mockito.invocation.StubInfo)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
15	org.mockito.invocation.Invocation	isIgnoredForVerification()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
16	org.mockito.invocation.Invocation	ignoreForVerification()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/Invocation.java
17	org.mockito.invocation.InvocationOnMock	getMock()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
18	org.mockito.invocation.InvocationOnMock	getMethod()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
19	org.mockito.invocation.InvocationOnMock	getArguments()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
20	org.mockito.invocation.InvocationOnMock	<T>getArgument(int)	0	1	[false]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
21	org.mockito.invocation.InvocationOnMock	<T>getArgument(int,java.lang.Class<T>)	0	2	[false, false]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
22	org.mockito.invocation.InvocationOnMock	callRealMethod()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/InvocationOnMock.java
23	org.mockito.ArgumentMatcher	matches(T)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/ArgumentMatcher.java
24	org.mockito.invocation.StubInfo	stubbedAt()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/StubInfo.java
25	org.mockito.invocation.MockHandler	handle(org.mockito.invocation.Invocation)	0	1	[false]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MockHandler.java
26	org.mockito.invocation.MockHandler	getMockSettings()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MockHandler.java
27	org.mockito.invocation.MockHandler	getInvocationContainer()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/invocation/MockHandler.java
28	org.mockito.mock.MockCreationSettings	getTypeToMock()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
29	org.mockito.mock.MockCreationSettings	getExtraInterfaces()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
30	org.mockito.mock.MockCreationSettings	getMockName()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
31	org.mockito.mock.MockCreationSettings	getDefaultAnswer()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
32	org.mockito.mock.MockCreationSettings	getSpiedInstance()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
33	org.mockito.mock.MockCreationSettings	isSerializable()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
34	org.mockito.mock.MockCreationSettings	getSerializableMode()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
35	org.mockito.mock.MockCreationSettings	isStubOnly()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
36	org.mockito.mock.MockCreationSettings	isStripAnnotations()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
37	org.mockito.mock.MockCreationSettings	getStubbingLookupListeners()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
38	org.mockito.mock.MockCreationSettings	getInvocationListeners()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
39	org.mockito.mock.MockCreationSettings	getVerificationStartedListeners()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
40	org.mockito.mock.MockCreationSettings	isUsingConstructor()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
41	org.mockito.mock.MockCreationSettings	getConstructorArgs()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
42	org.mockito.mock.MockCreationSettings	getOuterClassInstance()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
43	org.mockito.mock.MockCreationSettings	isLenient()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
44	org.mockito.mock.MockName	toString()	2	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockName.java
45	org.mockito.mock.MockName	isDefault()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/mock/MockName.java
46	org.mockito.stubbing.Answer	answer(org.mockito.invocation.InvocationOnMock)	0	1	[false]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/stubbing/Answer.java
47	org.mockito.listeners.StubbingLookupListener	onStubbingLookup(org.mockito.listeners.StubbingLookupEvent)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupListener.java
48	org.mockito.listeners.InvocationListener	reportInvocation(org.mockito.listeners.MethodInvocationReport)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/InvocationListener.java
49	org.mockito.listeners.VerificationStartedListener	onVerificationStarted(org.mockito.listeners.VerificationStartedEvent)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/VerificationStartedListener.java
50	org.mockito.listeners.VerificationStartedEvent	setMock(java.lang.Object)	0	1	[false]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/VerificationStartedEvent.java
51	org.mockito.listeners.VerificationStartedEvent	getMock()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/VerificationStartedEvent.java
52	org.mockito.listeners.MethodInvocationReport	getInvocation()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
53	org.mockito.listeners.MethodInvocationReport	getReturnedValue()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
54	org.mockito.listeners.MethodInvocationReport	getThrowable()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
55	org.mockito.listeners.MethodInvocationReport	threwException()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
56	org.mockito.listeners.MethodInvocationReport	getLocationOfStubbing()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
57	org.mockito.listeners.StubbingLookupEvent	getInvocation()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
58	org.mockito.listeners.StubbingLookupEvent	getStubbingFound()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
59	org.mockito.listeners.StubbingLookupEvent	getAllStubbings()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
60	org.mockito.listeners.StubbingLookupEvent	getMockSettings()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/listeners/StubbingLookupEvent.java
61	org.mockito.stubbing.Stubbing	getInvocation()	0	0	[]	false	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/stubbing/Stubbing.java
62	org.mockito.stubbing.Stubbing	wasUsed()	0	0	[]	false	public	false	file:///private/tmp/projects/mockito/src/main/java/org/mockito/stubbing/Stubbing.java
63	org.mockito.stubbing.Stubbing	getStrictness()	0	0	[]	true	public	true	file:///private/tmp/projects/mockito/src/main/java/org/mockito/stubbing/Stubbing.java
