CLASS	METHOD	PARAMETER	INDEX
org.mockito.internal.util.StringUtil	removeFirstLine(java.lang.String)	text	0
org.mockito.internal.util.StringUtil	join(java.lang.String,java.lang.String,java.util.Collection)	lines	2
org.mockito.internal.util.StringUtil	join(java.lang.String,java.lang.String,java.util.Collection)	start	0
org.mockito.internal.util.StringUtil	join(java.lang.String,java.lang.String,java.util.Collection)	linePrefix	1
org.mockito.internal.util.StringUtil	decamelizeMatcher(java.lang.String)	className	0
org.mockito.internal.util.StringUtil	decamelizeClassName(java.lang.String)	className	0
org.mockito.MockitoAnnotations	openMocks(java.lang.Object)	testClass	0
org.mockito.internal.matchers.LocalizedMatcher	LocalizedMatcher(org.mockito.ArgumentMatcher)	matcher	0
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	matchingType	2
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	invocation	0
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	matchers	1
org.mockito.internal.invocation.MatcherApplicationStrategy	getMatcherApplicationStrategyFor(org.mockito.invocation.Invocation,java.util.List)	invocation	0
org.mockito.internal.invocation.MatcherApplicationStrategy	getMatcherApplicationStrategyFor(org.mockito.invocation.Invocation,java.util.List)	matchers	1
org.mockito.internal.invocation.MatcherApplicationStrategy	forEachMatcherAndArgument(org.mockito.internal.invocation.ArgumentMatcherAction)	action	0
org.mockito.internal.invocation.MatcherApplicationStrategy	getMatcherApplicationType(org.mockito.invocation.Invocation,java.util.List)	invocation	0
org.mockito.internal.invocation.MatcherApplicationStrategy	getMatcherApplicationType(org.mockito.invocation.Invocation,java.util.List)	matchers	1
org.mockito.internal.invocation.MatcherApplicationStrategy	appendLastMatcherNTimes(java.util.List,int)	timesToAppendLastMatcher	1
org.mockito.internal.invocation.MatcherApplicationStrategy	appendLastMatcherNTimes(java.util.List,int)	matchers	0
org.mockito.internal.invocation.MatcherApplicationStrategy	varargLength(org.mockito.invocation.Invocation)	invocation	0
org.mockito.internal.invocation.MatcherApplicationStrategy	lastMatcher(java.util.List)	matchers	0
org.mockito.internal.invocation.TypeSafeMatching	apply(org.mockito.ArgumentMatcher,java.lang.Object)	matcher	0
org.mockito.internal.invocation.TypeSafeMatching	isCompatible(org.mockito.ArgumentMatcher,java.lang.Object)	argument	1
org.mockito.internal.invocation.TypeSafeMatching	getArgumentType(org.mockito.ArgumentMatcher)	argumentMatcher	0
org.mockito.internal.invocation.TypeSafeMatching	isMatchesMethod(java.lang.reflect.Method)	method	0
