REGION_CLASS	REGION_MEMBER	USED_MEMBER	USED_CLASS	SOURCE_TYPE
org.mockito.internal.util.StringUtil	decamelizeClassName(java.lang.String)	CAPS	org.mockito.internal.util.StringUtil	SOURCE
org.mockito.internal.progress.ThreadSafeMockingProgress	mockingProgress()	MOCKING_PROGRESS_PROVIDER	org.mockito.internal.progress.ThreadSafeMockingProgress	SOURCE
org.mockito.verification.VerificationMode	description(java.lang.String)	this	org.mockito.verification.VerificationMode	SOURCE
org.mockito.internal.matchers.LocalizedMatcher	LocalizedMatcher(org.mockito.ArgumentMatcher)	matcher	org.mockito.internal.matchers.LocalizedMatcher	SOURCE
org.mockito.internal.matchers.LocalizedMatcher	LocalizedMatcher(org.mockito.ArgumentMatcher)	this	org.mockito.internal.matchers.LocalizedMatcher	SOURCE
org.mockito.internal.matchers.LocalizedMatcher	LocalizedMatcher(org.mockito.ArgumentMatcher)	location	org.mockito.internal.matchers.LocalizedMatcher	SOURCE
org.mockito.internal.matchers.LocalizedMatcher	LocalizedMatcher(org.mockito.ArgumentMatcher)	this	org.mockito.internal.matchers.LocalizedMatcher	SOURCE
org.mockito.internal.matchers.LocalizedMatcher	getLocation()	location	org.mockito.internal.matchers.LocalizedMatcher	SOURCE
org.mockito.internal.matchers.LocalizedMatcher	getMatcher()	matcher	org.mockito.internal.matchers.LocalizedMatcher	SOURCE
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	invocation	org.mockito.internal.invocation.MatcherApplicationStrategy	SOURCE
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	this	org.mockito.internal.invocation.MatcherApplicationStrategy	SOURCE
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	matchers	org.mockito.internal.invocation.MatcherApplicationStrategy	SOURCE
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	this	org.mockito.internal.invocation.MatcherApplicationStrategy	SOURCE
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	matchers	org.mockito.internal.invocation.MatcherApplicationStrategy	SOURCE
org.mockito.internal.invocation.MatcherApplicationStrategy	MatcherApplicationStrategy(org.mockito.invocation.Invocation,java.util.List,org.mockito.internal.invocation.MatcherApplicationStrategy.MatcherApplicationType)	this	org.mockito.internal.invocation.MatcherApplicationStrategy	SOURCE
