kind	class	method	param	index	uri	field
METHOD	org.mockito.exceptions.base.MockitoException	filterStackTrace()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/exceptions/base/MockitoException.java	unfilteredStackTrace
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	setInvocationForPotentialStubbing(org.mockito.invocation.MatchableInvocation)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	invocationForStubbing
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	resetInvocationForPotentialStubbing(org.mockito.invocation.MatchableInvocation)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	invocationForStubbing
METHOD	org.mockito.internal.stubbing.InvocationContainerImpl	setMethodForStubbing(org.mockito.invocation.MatchableInvocation)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/InvocationContainerImpl.java	invocationForStubbing
METHOD	org.mockito.internal.stubbing.StubbedInvocationMatcher	markStubUsed(org.mockito.invocation.DescribedInvocation)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/StubbedInvocationMatcher.java	usedAt
METHOD	org.mockito.internal.stubbing.DoAnswerStyleStubbing	setAnswers(java.util.List<org.mockito.stubbing.Answer<?>>,org.mockito.quality.Strictness)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/DoAnswerStyleStubbing.java	stubbingStrictness
METHOD	org.mockito.runners.ConsoleSpammingMockitoJUnitRunner$1	testStarted(org.junit.runner.Description)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/runners/ConsoleSpammingMockitoJUnitRunner.java	warningsCollector
METHOD	org.mockito.runners.VerboseMockitoJUnitRunner$1	testStarted(org.junit.runner.Description)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/runners/VerboseMockitoJUnitRunner.java	warningsCollector
METHOD	org.mockito.exceptions.base.MockitoSerializationIssue	filterStackTrace()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/exceptions/base/MockitoSerializationIssue.java	unfilteredStackTrace
METHOD	org.mockito.internal.creation.settings.CreationSettings	setTypeToMock(java.lang.Class<T>)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	typeToMock
METHOD	org.mockito.internal.creation.settings.CreationSettings	setExtraInterfaces(java.util.Set<java.lang.Class<?>>)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	extraInterfaces
METHOD	org.mockito.internal.creation.settings.CreationSettings	setMockName(org.mockito.mock.MockName)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	mockName
METHOD	org.mockito.internal.creation.settings.CreationSettings	setSerializableMode(org.mockito.mock.SerializableMode)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/creation/settings/CreationSettings.java	serializableMode
METHOD	org.mockito.internal.listeners.VerificationStartedNotifier$Event	setMock(java.lang.Object)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/listeners/VerificationStartedNotifier.java	mock
METHOD	org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	rawType()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/GenericMetadataSupport.java	rawType
METHOD	org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	extraInterfaces()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/GenericMetadataSupport.java	extraInterfaces
METHOD	org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	extraInterfaces()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/GenericMetadataSupport.java	extraInterfaces
METHOD	org.mockito.internal.util.reflection.GenericMetadataSupport$TypeVariableReturnType	extraInterfaces()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/util/reflection/GenericMetadataSupport.java	extraInterfaces
METHOD	org.mockito.internal.stubbing.OngoingStubbingImpl	setStrictness(org.mockito.quality.Strictness)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/stubbing/OngoingStubbingImpl.java	strictness
METHOD	org.mockito.internal.creation.MockSettingsImpl	useConstructor(java.lang.Object...)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java	constructorArgs
METHOD	org.mockito.internal.creation.MockSettingsImpl	outerInstance(java.lang.Object)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/creation/MockSettingsImpl.java	outerClassInstance
METHOD	org.mockito.internal.invocation.InterceptedInvocation	markStubbed(org.mockito.invocation.StubInfo)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/invocation/InterceptedInvocation.java	stubInfo
METHOD	org.mockito.internal.invocation.SerializableMethod	getJavaMethod()	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/invocation/SerializableMethod.java	method
METHOD	org.mockito.internal.junit.UniversalTestListener	testFinished(org.mockito.internal.junit.TestFinishedEvent)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/junit/UniversalTestListener.java	mocks
METHOD	org.mockito.internal.junit.UniversalTestListener	setStrictness(org.mockito.quality.Strictness)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/junit/UniversalTestListener.java	currentStrictness
METHOD	org.mockito.internal.junit.DefaultStubbingLookupListener	setCurrentStrictness(org.mockito.quality.Strictness)	null	null	/home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/internal/junit/DefaultStubbingLookupListener.java	currentStrictness
