id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	org.mockito.mock.MockName	toString()	2	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockName.java
3	org.mockito.mock.MockName	isDefault()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockName.java
4	org.mockito.mock.MockCreationSettings	getTypeToMock()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
5	org.mockito.mock.MockCreationSettings	getExtraInterfaces()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
6	org.mockito.mock.MockCreationSettings	getMockName()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
7	org.mockito.mock.MockCreationSettings	getDefaultAnswer()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
8	org.mockito.mock.MockCreationSettings	getSpiedInstance()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
9	org.mockito.mock.MockCreationSettings	isSerializable()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
10	org.mockito.mock.MockCreationSettings	getSerializableMode()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
11	org.mockito.mock.MockCreationSettings	isStubOnly()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
12	org.mockito.mock.MockCreationSettings	isStripAnnotations()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
13	org.mockito.mock.MockCreationSettings	getStubbingLookupListeners()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
14	org.mockito.mock.MockCreationSettings	getInvocationListeners()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
15	org.mockito.mock.MockCreationSettings	getVerificationStartedListeners()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
16	org.mockito.mock.MockCreationSettings	isUsingConstructor()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
17	org.mockito.mock.MockCreationSettings	getConstructorArgs()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
18	org.mockito.mock.MockCreationSettings	getOuterClassInstance()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
19	org.mockito.mock.MockCreationSettings	isLenient()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/mock/MockCreationSettings.java
20	org.mockito.stubbing.Answer	answer(org.mockito.invocation.InvocationOnMock)	0	1	[false]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/stubbing/Answer.java
21	org.mockito.listeners.StubbingLookupListener	onStubbingLookup(org.mockito.listeners.StubbingLookupEvent)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/StubbingLookupListener.java
22	org.mockito.listeners.InvocationListener	reportInvocation(org.mockito.listeners.MethodInvocationReport)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/InvocationListener.java
23	org.mockito.listeners.VerificationStartedListener	onVerificationStarted(org.mockito.listeners.VerificationStartedEvent)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/VerificationStartedListener.java
24	org.mockito.listeners.VerificationStartedEvent	setMock(java.lang.Object)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/VerificationStartedEvent.java
25	org.mockito.listeners.VerificationStartedEvent	getMock()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/VerificationStartedEvent.java
26	org.mockito.listeners.MethodInvocationReport	getInvocation()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
27	org.mockito.listeners.MethodInvocationReport	getReturnedValue()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
28	org.mockito.listeners.MethodInvocationReport	getThrowable()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
29	org.mockito.listeners.MethodInvocationReport	threwException()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
30	org.mockito.listeners.MethodInvocationReport	getLocationOfStubbing()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/listeners/MethodInvocationReport.java
31	org.mockito.invocation.DescribedInvocation	toString()	2	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/invocation/DescribedInvocation.java
32	org.mockito.invocation.DescribedInvocation	getLocation()	0	0	[]	false	public	true	file:///home/nima/Desktop/docker/benchmarks/mockito/src/main/java/org/mockito/invocation/DescribedInvocation.java
